Date Time	 Water Level	 Sigma	 I	 L 
1/1/72 0:00	-1.239	0	0	0
1/1/72 1:00	-1.907	0	0	0
1/1/72 2:00	-2.078	0	0	0
1/1/72 3:00	-1.937	0	0	0
1/1/72 4:00	-1.575	0	0	0
1/1/72 5:00	-1.02	0	0	0
1/1/72 6:00	-0.301	0	0	0
1/1/72 7:00	0.251	0	0	0
1/1/72 8:00	0.635	0	0	0
1/1/72 9:00	0.821	0	0	0
1/1/72 10:00	0.699	0	0	0
1/1/72 11:00	0.318	0	0	0
1/1/72 12:00	-0.032	0	0	0
1/1/72 13:00	-0.355	0	0	0
1/1/72 14:00	-0.462	0	0	0
1/1/72 15:00	-0.371	0	0	0
1/1/72 16:00	-0.057	0	0	0
1/1/72 17:00	0.382	0	0	0
1/1/72 18:00	0.913	0	0	0
1/1/72 19:00	1.272	0	0	0
1/1/72 20:00	1.419	0	0	0
1/1/72 21:00	1.184	0	0	0
1/1/72 22:00	0.721	0	0	0
1/1/72 23:00	-0.026	0	0	0
1/2/72 0:00	-0.761	0	0	0
1/2/72 1:00	-1.514	0	0	0
1/2/72 2:00	-2.05	0	0	0
1/2/72 3:00	-2.129	0	0	0
1/2/72 4:00	-1.858	0	0	0
1/2/72 5:00	-1.395	0	0	0
1/2/72 6:00	-0.81	0	0	0
1/2/72 7:00	-0.209	0	0	0
1/2/72 8:00	0.358	0	0	0
1/2/72 9:00	0.687	0	0	0
1/2/72 10:00	0.812	0	0	0
1/2/72 11:00	0.525	0	0	0
1/2/72 12:00	0.181	0	0	0
1/2/72 13:00	-0.209	0	0	0
1/2/72 14:00	-0.514	0	0	0
1/2/72 15:00	-0.569	0	0	0
1/2/72 16:00	-0.374	0	0	0
1/2/72 17:00	-0.026	0	0	0
1/2/72 18:00	0.434	0	0	0
1/2/72 19:00	0.87	0	0	0
1/2/72 20:00	1.223	0	0	0
1/2/72 21:00	1.287	0	0	0
1/2/72 22:00	0.937	0	0	0
1/2/72 23:00	0.428	0	0	0
1/3/72 0:00	-0.252	0	0	0
1/3/72 1:00	-0.989	0	0	0
1/3/72 2:00	-1.712	0	0	0
1/3/72 3:00	-2.074	0	0	0
1/3/72 4:00	-2.056	0	0	0
1/3/72 5:00	-1.77	0	0	0
1/3/72 6:00	-1.236	0	0	0
1/3/72 7:00	-0.611	0	0	0
1/3/72 8:00	-0.02	0	0	0
1/3/72 9:00	0.471	0	0	0
1/3/72 10:00	0.745	0	0	0
1/3/72 11:00	0.702	0	0	0
1/3/72 12:00	0.394	0	0	0
1/3/72 13:00	-0.017	0	0	0
1/3/72 14:00	-0.389	0	0	0
1/3/72 15:00	-0.666	0	0	0
1/3/72 16:00	-0.663	0	0	0
1/3/72 17:00	-0.444	0	0	0
1/3/72 18:00	-0.072	0	0	0
1/3/72 19:00	0.364	0	0	0
1/3/72 20:00	0.785	0	0	0
1/3/72 21:00	1.028	0	0	0
1/3/72 22:00	1.038	0	0	0
1/3/72 23:00	0.672	0	0	0
1/4/72 0:00	0.135	0	0	0
1/4/72 1:00	-0.523	0	0	0
1/4/72 2:00	-1.188	0	0	0
1/4/72 3:00	-1.754	0	0	0
1/4/72 4:00	-1.934	0	0	0
1/4/72 5:00	-1.794	0	0	0
1/4/72 6:00	-1.413	0	0	0
1/4/72 7:00	-0.861	0	0	0
